,Player_ID,goals,minutes_played,Appearances,goals_90,goals_game
122,27924,0,4292,60,inf,0.0
123,27992,19,17578,227,925.1578947368421,0.08370044052863436
124,28003,231,20545,243,88.93939393939394,0.9506172839506173
125,28005,1,907,13,907.0,0.07692307692307693
126,28171,10,7099,111,709.9,0.09009009009009009
127,28260,1,1367,28,1367.0,0.03571428571428571
128,28261,3,3965,60,1321.6666666666667,0.05
129,28285,0,166,11,inf,0.0
130,29051,0,5130,57,inf,0.0
131,29055,0,1807,24,inf,0.0
132,29065,0,1258,22,inf,0.0
133,29124,66,11052,164,167.45454545454547,0.4024390243902439
134,29178,0,271,16,inf,0.0
135,29401,0,294,11,inf,0.0
136,29559,0,4373,49,inf,0.0
137,30321,5,4250,58,850.0,0.08620689655172414
138,30584,2,1718,20,859.0,0.1
139,30666,2,1479,24,739.5,0.08333333333333333
140,30677,4,11727,141,2931.75,0.028368794326241134
141,30749,0,1467,17,inf,0.0
142,30846,0,557,12,inf,0.0
143,30929,0,572,7,inf,0.0
144,31909,19,20037,243,1054.578947368421,0.07818930041152264
145,32467,32,18579,272,580.59375,0.11764705882352941
146,32522,1,11703,156,11703.0,0.00641025641025641
147,32622,0,560,9,inf,0.0
148,33210,0,4081,47,inf,0.0
149,33357,3,2025,23,675.0,0.13043478260869565
150,33448,0,64,6,inf,0.0
151,33648,0,579,12,inf,0.0
152,33706,5,1846,25,369.2,0.2
153,34370,0,13798,155,inf,0.0
154,34495,0,1386,24,inf,0.0
155,34564,1,231,9,231.0,0.1111111111111111
156,34572,12,1941,28,161.75,0.42857142857142855
157,34601,67,18516,269,276.35820895522386,0.24907063197026022
158,34870,28,7459,118,266.39285714285717,0.23728813559322035
159,35242,0,1807,22,inf,0.0
160,35448,0,601,11,inf,0.0
161,35462,0,450,5,inf,0.0
162,35518,4,3564,46,891.0,0.08695652173913043
163,35536,0,2544,31,inf,0.0
164,35539,2,6389,80,3194.5,0.025
165,35540,11,3368,58,306.1818181818182,0.1896551724137931
166,35541,0,1800,20,inf,0.0
167,35548,0,2221,27,inf,0.0
168,35560,0,3471,44,inf,0.0
169,35562,5,2096,29,419.2,0.1724137931034483
170,35564,4,1161,23,290.25,0.17391304347826086
171,35600,1,1035,12,1035.0,0.08333333333333333
172,35773,24,7760,112,323.3333333333333,0.21428571428571427
173,35871,0,1320,19,inf,0.0
174,35939,5,7945,92,1589.0,0.05434782608695652
175,36350,1,3303,53,3303.0,0.018867924528301886
176,36356,0,554,7,inf,0.0
177,36371,2,638,17,319.0,0.11764705882352941
178,37337,6,4364,69,727.3333333333334,0.08695652173913043
179,37397,0,2882,36,inf,0.0
180,37399,3,1702,28,567.3333333333334,0.10714285714285714
181,37403,0,5326,60,inf,0.0
182,37501,20,3342,58,167.1,0.3448275862068966
183,37579,2,883,14,441.5,0.14285714285714285
184,37666,11,3593,66,326.6363636363636,0.16666666666666666
185,37712,3,7460,89,2486.6666666666665,0.033707865168539325
186,37834,19,5324,93,280.2105263157895,0.20430107526881722
187,37892,0,2252,27,inf,0.0
188,37906,0,243,3,inf,0.0
189,37917,13,6985,130,537.3076923076923,0.1
190,38270,0,1807,23,inf,0.0
191,38414,0,854,16,inf,0.0
192,39004,0,365,5,inf,0.0
193,39151,2,4904,78,2452.0,0.02564102564102564
194,39152,7,997,22,142.42857142857142,0.3181818181818182
195,39381,66,10714,149,162.33333333333334,0.4429530201342282
196,39907,6,13083,178,2180.5,0.033707865168539325
197,40423,0,9555,107,inf,0.0
198,40428,0,4405,59,inf,0.0
199,40442,1,1342,32,1342.0,0.03125
200,40888,6,10596,158,1766.0,0.0379746835443038
201,41281,2,4972,60,2486.0,0.03333333333333333
202,41355,1,615,16,615.0,0.0625
203,41749,0,180,2,inf,0.0
204,42373,0,7452,83,inf,0.0
205,42714,5,1753,22,350.6,0.22727272727272727
206,42920,1,2232,48,2232.0,0.020833333333333332
207,42935,0,1038,15,inf,0.0
208,43003,3,4474,55,1491.3333333333333,0.05454545454545454
209,43256,1,1238,15,1238.0,0.06666666666666667
210,43264,0,3798,44,inf,0.0
211,44012,4,4115,52,1028.75,0.07692307692307693
212,44027,6,1462,26,243.66666666666666,0.23076923076923078
213,44062,0,9356,105,inf,0.0
214,44065,5,7829,131,1565.8,0.03816793893129771
215,44069,4,10439,135,2609.75,0.02962962962962963
216,44073,14,7995,117,571.0714285714286,0.11965811965811966
217,44162,0,620,19,inf,0.0
218,44317,0,678,9,inf,0.0
219,44352,176,20280,258,115.22727272727273,0.6821705426356589
220,44373,1,3812,50,3812.0,0.02
221,44412,12,7926,96,660.5,0.125
222,44501,11,14672,188,1333.8181818181818,0.05851063829787234
223,44514,5,1590,28,318.0,0.17857142857142858
224,44674,1,1388,26,1388.0,0.038461538461538464
225,44675,0,436,13,inf,0.0
226,44699,2,6307,78,3153.5,0.02564102564102564
227,44735,0,3663,45,inf,0.0
228,44779,10,3513,54,351.3,0.18518518518518517
229,45121,8,1218,23,152.25,0.34782608695652173
230,45184,2,4986,58,2493.0,0.034482758620689655
231,45256,5,6982,81,1396.4,0.06172839506172839
232,45305,0,5374,69,inf,0.0
233,45314,0,295,4,inf,0.0
234,45319,5,6047,78,1209.4,0.0641025641025641
235,45335,19,4033,71,212.26315789473685,0.2676056338028169
236,45383,18,5740,104,318.8888888888889,0.17307692307692307
237,45599,1,1787,23,1787.0,0.043478260869565216
238,45639,3,5843,97,1947.6666666666667,0.030927835051546393
239,45653,4,4211,50,1052.75,0.08
240,45710,1,1412,23,1412.0,0.043478260869565216
241,45775,0,241,10,inf,0.0
242,45882,0,2880,32,inf,0.0
243,45912,0,11240,127,inf,0.0
244,46104,6,1204,21,200.66666666666666,0.2857142857142857
245,46110,0,791,13,inf,0.0
246,46215,17,3006,51,176.8235294117647,0.3333333333333333
247,46220,3,1917,27,639.0,0.1111111111111111
248,46413,32,6470,93,202.1875,0.34408602150537637
249,46415,16,5021,80,313.8125,0.2
250,47647,2,2007,37,1003.5,0.05405405405405406
251,47659,0,540,6,inf,0.0
252,48859,2,3586,46,1793.0,0.043478260869565216
253,49500,5,15721,182,3144.2,0.027472527472527472
254,49795,0,356,18,inf,0.0
255,50202,4,2429,48,607.25,0.08333333333333333
256,50355,2,749,14,374.5,0.14285714285714285
257,50487,5,1263,31,252.6,0.16129032258064516
258,50935,8,1304,32,163.0,0.25
259,51046,3,4243,52,1414.3333333333333,0.057692307692307696
260,51058,0,1306,21,inf,0.0
261,51118,0,4212,49,inf,0.0
262,51174,6,7548,89,1258.0,0.06741573033707865
263,51226,0,1123,14,inf,0.0
264,51426,6,5352,79,892.0,0.0759493670886076
265,51471,1,3707,73,3707.0,0.0136986301369863
266,51474,6,7575,124,1262.5,0.04838709677419355
267,51489,0,384,6,inf,0.0
268,51504,0,450,5,inf,0.0
269,51510,40,8950,179,223.75,0.22346368715083798
270,51532,0,186,10,inf,0.0
271,51535,0,2157,25,inf,0.0
272,51547,0,282,5,inf,0.0
273,51559,10,2611,40,261.1,0.25
274,51587,17,10522,169,618.9411764705883,0.10059171597633136
275,51663,2,3466,46,1733.0,0.043478260869565216
276,51667,2,6217,75,3108.5,0.02666666666666667
277,51710,0,17760,193,inf,0.0
278,52345,0,490,11,inf,0.0
279,52403,5,11411,134,2282.2,0.03731343283582089
280,52428,11,2211,35,201.0,0.3142857142857143
281,52432,0,54,5,inf,0.0
282,52469,12,11726,165,977.1666666666666,0.07272727272727272
283,53239,0,114,3,inf,0.0
284,53293,0,682,8,inf,0.0
285,53350,0,561,8,inf,0.0
286,54155,0,4327,54,inf,0.0
287,54217,0,990,11,inf,0.0
288,54231,2,4219,58,2109.5,0.034482758620689655
289,54235,35,16261,222,464.6,0.15765765765765766
290,54245,9,8477,141,941.8888888888889,0.06382978723404255
291,54774,0,1797,28,inf,0.0
292,54781,6,3098,35,516.3333333333334,0.17142857142857143
293,54859,0,412,6,inf,0.0
294,54928,10,13477,156,1347.7,0.0641025641025641
295,54935,0,669,10,inf,0.0
296,55135,0,1440,17,inf,0.0
297,55215,0,527,13,inf,0.0
298,55240,1,6727,85,6727.0,0.011764705882352941
299,55619,8,4679,74,584.875,0.10810810810810811
300,55854,0,576,7,inf,0.0
301,55866,0,2768,32,inf,0.0
302,56046,0,524,11,inf,0.0
303,56066,0,4495,61,inf,0.0
304,56067,20,8256,151,412.8,0.13245033112582782
305,56134,4,9735,125,2433.75,0.032
306,56777,1,9295,123,9295.0,0.008130081300813009
307,56790,2,747,14,373.5,0.14285714285714285
308,57162,7,3191,54,455.85714285714283,0.12962962962962962
309,57186,0,603,7,inf,0.0
310,57229,9,1939,34,215.44444444444446,0.2647058823529412
311,57403,0,481,8,inf,0.0
312,57522,0,7210,81,inf,0.0
313,57693,0,585,7,inf,0.0
314,57785,2,2908,38,1454.0,0.05263157894736842
315,57791,3,2263,32,754.3333333333334,0.09375
316,57800,0,2070,23,inf,0.0
317,57816,0,2787,38,inf,0.0
318,57818,0,90,1,inf,0.0
319,57825,45,11824,199,262.75555555555553,0.22613065326633167
320,57866,0,221,4,inf,0.0
321,57876,0,3327,49,inf,0.0
322,57935,0,381,17,inf,0.0
323,57943,0,1176,21,inf,0.0
324,57944,0,726,10,inf,0.0
325,57961,3,1438,18,479.3333333333333,0.16666666666666666
326,58001,11,1771,29,161.0,0.3793103448275862
327,58064,0,360,4,inf,0.0
328,58070,3,2126,28,708.6666666666666,0.10714285714285714
