,player_pretty_name,competition_id,goals,assists,minutes_played,yellow_cards,red_cards,player_club_id
968,Kike Barja,ES1,4,5,2694,4,0,21883
969,Kike Garcia,ES1,41,7,12132,20,0,247458
970,Kike Perez,ES1,2,1,2360,6,0,31880
971,Kike Sola,ES1,0,0,186,0,0,6210
972,Kiko Casilla,ES1,0,0,6790,7,1,58302
973,Kiko Femenia,ES1,0,2,2794,5,0,38548
974,Kiko Olivas,ES1,2,2,6217,9,0,27450
975,Koba Koindredi,ES1,0,0,177,1,0,10490
976,Koke,ES1,24,55,23091,56,0,3588
977,Koke Vegas,ES1,0,0,360,0,0,13472
978,Lacina Traore,ES1,2,0,463,2,0,19584
979,Lago Junior,ES1,4,0,2209,3,0,9006
980,Landry Dimata,ES1,0,0,534,0,0,12138
981,Largie Ramazani,ES1,2,0,502,1,0,19812
982,Lass Bangoura,ES1,0,3,1751,8,0,241369
983,Laure,ES1,0,0,3327,10,1,43953
984,Lazaro,ES1,0,0,81,0,0,6604
985,Leandro Cabrera,ES1,6,1,10443,27,0,261671
986,Leandro Chichizola,ES1,0,0,2520,2,0,16453
987,Leandro Damiao,ES1,0,0,129,0,0,450
988,Lei Wu,ES1,8,2,3247,4,0,51408
989,Leo Baptistao,ES1,26,12,8504,14,0,101359
990,Leo Roman,ES1,0,0,180,0,0,474
991,Leo Suarez,ES1,2,0,562,0,0,12366
992,Leonardo Koutris,ES1,0,0,93,0,0,474
993,Levy Madinda,ES1,0,0,54,1,0,5640
994,Lica,ES1,0,3,1306,2,0,7707
995,Lillo Castellano,ES1,0,0,5419,30,0,125377
996,Lionel Carole,ES1,0,1,540,0,0,2208
997,Lionel Messi,ES1,231,109,20545,27,0,31833
998,Lisandro Magallan,ES1,1,1,1197,4,0,18836
999,Ljubomir Fejsa,ES1,0,1,791,2,0,14404
1000,Lluis Lopez,ES1,0,0,299,1,0,2856
1001,Lluis Sastre,ES1,0,0,207,0,0,22676
1002,Loic Remy,ES1,8,0,1218,5,0,46463
1003,Loren Moron,ES1,25,3,6610,12,1,31944
1004,Loukas Vyntra,ES1,0,0,2367,4,1,90936
1005,Luca De La Torre,ES1,0,0,18,0,0,2820
1006,Luca Sangalli,ES1,1,5,1385,0,0,19749
1007,Luca Zidane,ES1,0,0,826,0,1,4404
1008,Lucas Boye,ES1,14,6,4966,14,0,108673
1009,Lucas Digne,ES1,0,2,1877,5,0,3799
1010,Lucas Hernandez,ES1,1,1,5323,15,0,871
1011,Lucas Ocampos,ES1,25,11,7664,21,0,36800
1012,Lucas Olaza,ES1,3,11,7448,17,0,73463
1013,Lucas Orban,ES1,1,1,1684,9,1,40525
1014,Lucas Perez,ES1,52,30,14554,20,0,236102
1015,Lucas Robertone,ES1,0,1,446,1,0,19812
1016,Lucas Silva,ES1,0,0,334,0,0,3344
1017,Lucas Torreira,ES1,1,0,504,2,0,247
1018,Lucas Torro,ES1,1,1,4768,15,0,21184
1019,Lucas Vazquez,ES1,22,38,13307,30,0,105908
1020,Luciano,ES1,4,2,1169,3,0,31100
1021,Luciano Vietto,ES1,21,10,4959,13,0,56339
1022,Ludwig Augustinsson,ES1,0,1,788,3,0,6992
1023,Luis Advincula,ES1,1,4,2392,6,0,10276
1024,Luis Alberto,ES1,8,8,2680,3,0,42273
1025,Luis Farina,ES1,1,0,1244,1,1,19938
1026,Luis Hernandez,ES1,1,2,10048,22,0,206862
1027,Luis Martins,ES1,0,0,218,0,0,83975
1028,Luis Maximiano,ES1,0,0,3137,2,0,587825
1029,Luis Milla,ES1,4,4,4071,7,0,843459
1030,Luis Munoz,ES1,0,0,381,0,0,19512
1031,Luis Muriel,ES1,8,2,1726,5,0,12880
1032,Luis Perea,ES1,0,0,38,0,0,1770
1033,Luis Perez,ES1,0,0,1685,2,0,9882
1034,Luis Rioja,ES1,5,5,6866,10,0,110800
1035,Luis Suarez,ES1,189,83,24805,60,0,1100772
1036,Luisinho,ES1,1,4,9295,42,0,163863
1037,Luismi,ES1,0,0,173,1,0,17209
1038,Luiz Felipe,ES1,0,0,285,0,0,600
1039,Luiz Henrique,ES1,0,1,254,0,0,600
1040,Luka Jović,ES1,3,4,930,3,0,15048
1041,Luka Modric,ES1,19,42,17578,36,1,97394
1042,Luka Romero,ES1,0,0,7,0,0,418
1043,Lumor,ES1,1,1,1809,5,0,5451
1044,Luso,ES1,1,1,1396,4,0,17874
1045,Luuk De Jong,ES1,16,2,3966,6,0,28143
1046,Maksym Koval,ES1,0,0,122,0,1,1794
1047,Malcom,ES1,1,2,608,0,0,1965
1048,Mamadou Kone,ES1,0,0,169,0,0,6220
1049,Mamadou Loum,ES1,2,0,2317,10,0,35456
1050,Mamadou Sylla,ES1,0,0,963,6,0,28804
1051,Mamor Niang,ES1,0,0,21,0,0,3709
1052,Mane,ES1,0,0,282,0,0,16510
1053,Manolo Reina,ES1,0,0,5130,8,0,13509
1054,Manu Del Moral,ES1,3,1,1702,2,0,42924
1055,Manu Fernandez,ES1,0,0,682,1,0,7176
1056,Manu Garcia,ES1,8,5,10904,44,0,186144
1057,Manu Garrido,ES1,0,0,116,1,0,3440
1058,Manu Herrera,ES1,0,0,556,0,0,10717
1059,Manu Morlanes,ES1,2,4,2001,8,0,39422
1060,Manu Sanchez,ES1,1,8,3651,10,0,21913
