club_id,name,pretty_name,domestic_competition_id,total_market_value,squad_size,average_age,foreigners_number,foreigners_percentage,national_team_players,stadium_name,stadium_seats,net_transfer_record,coach_name,url
24,eintracht-frankfurt,Eintracht Frankfurt,L1,204.8,29,25.0,18,62.1,10,Deutsche Bank Park,51500,£-6.84m,Oliver Glasner,https://www.transfermarkt.co.uk/eintracht-frankfurt/startseite/verein/24
3329,fc-famalicao,Fc Famalicao,PO1,36.72,27,24.1,17,63.0,3,Estádio Municipal de Famalicão,5300,+£1.98m,João Pedro Sousa,https://www.transfermarkt.co.uk/fc-famalicao/startseite/verein/3329
39,1-fsv-mainz-05,1 Fsv Mainz 05,L1,94.46,27,24.4,12,44.4,6,Mewa Arena,33305,+£7.61m,Bo Svensson,https://www.transfermarkt.co.uk/1-fsv-mainz-05/startseite/verein/39
23826,rasenballsport-leipzig,Rasenballsport Leipzig,L1,436.03,25,24.8,16,64.0,17,Red Bull Arena,47069,+£14.51m,Marco Rose,https://www.transfermarkt.co.uk/rasenballsport-leipzig/startseite/verein/23826
533,tsg-1899-hoffenheim,Tsg 1899 Hoffenheim,L1,160.56,28,25.5,14,50.0,8,PreZero Arena,30150,+£13.23m,André Breitenreiter,https://www.transfermarkt.co.uk/tsg-1899-hoffenheim/startseite/verein/533
27,fc-bayern-munchen,Fc Bayern Munchen,L1,790.83,24,25.5,14,58.3,20,Allianz Arena,75024,£-29.79m,Julian Nagelsmann,https://www.transfermarkt.co.uk/fc-bayern-munchen/startseite/verein/27
2687,fc-cadiz,Fc Cadiz,ES1,58.5,27,28.5,9,33.3,6,Nuevo Mirandilla,21094,£-6.21m,Sergio,https://www.transfermarkt.co.uk/fc-cadiz/startseite/verein/2687
16,borussia-dortmund,Borussia Dortmund,L1,434.7,31,24.4,15,48.4,14,SIGNAL IDUNA PARK,81365,£-11.16m,Edin Terzic,https://www.transfermarkt.co.uk/borussia-dortmund/startseite/verein/16
237,rcd-mallorca,Rcd Mallorca,ES1,64.44,26,27.3,15,60.0,10,Visit Mallorca Estadi,20500,£-8.73m,Javier Aguirre,https://www.transfermarkt.co.uk/rcd-mallorca/startseite/verein/237
367,rayo-vallecano,Rayo Vallecano,ES1,74.25,27,28.0,10,37.0,7,Campo de Fútbol de Vallecas,15105,£-10.17m,Andoni Iraola,https://www.transfermarkt.co.uk/rayo-vallecano/startseite/verein/367
